# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	h_solver        	h_initial       	h_final         	h_iters         	h_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	DILUPBiCGStab	9.99268250e-01	9.52726350e-02	1	1.00000000e+00	9.82882120e-02	2	1.00000000e+00	1.12376470e-02	2	false	DILUPBiCGStab	9.99956160e-01	2.15913860e-02	1	true	DILUPBiCGStab	9.99999940e-01	5.09068290e-03	1	true	GAMG	1.00000000e+00	6.10393230e-03	14	true
2               	DILUPBiCGStab	3.90779940e-04	4.99693630e-06	1	4.24004220e-02	4.66252920e-04	1	2.08994660e-03	2.64409560e-05	1	false	DILUPBiCGStab	2.70777330e-04	3.81171560e-06	1	true	DILUPBiCGStab	8.45647470e-05	5.80327750e-07	1	true	GAMG	2.15901370e-03	2.05450500e-05	12	true
3               	DILUPBiCGStab	3.35226320e-04	4.26749370e-06	1	3.01303890e-02	3.37946830e-04	1	8.93371470e-04	1.13200780e-05	1	false	DILUPBiCGStab	5.36312110e-04	8.54619000e-06	1	true	DILUPBiCGStab	4.67592830e-05	4.52626930e-07	1	true	GAMG	1.74756950e-03	1.38890740e-05	11	true
4               	DILUPBiCGStab	2.07534030e-04	2.58957490e-06	1	1.45879310e-02	1.65366340e-04	1	3.67866030e-04	4.41744030e-06	1	false	DILUPBiCGStab	8.59846360e-04	1.46369640e-05	1	true	DILUPBiCGStab	3.43213540e-05	5.23548520e-07	1	true	GAMG	2.53055000e-03	1.54964360e-05	12	true
5               	DILUPBiCGStab	1.35391400e-04	1.49423470e-06	1	5.63121160e-03	5.49504720e-05	1	1.37323910e-04	1.46429420e-06	1	false	DILUPBiCGStab	1.42797720e-03	2.56352170e-05	1	true	DILUPBiCGStab	2.93664630e-05	6.44669480e-07	1	true	GAMG	4.36625000e-03	3.18608570e-05	12	true
6               	DILUPBiCGStab	1.04879910e-04	6.72946330e-07	1	2.26171580e-03	4.21345520e-05	1	4.26942820e-05	9.33627290e-07	1	false	DILUPBiCGStab	3.64079020e-03	6.95694050e-05	1	true	DILUPBiCGStab	2.58915400e-05	6.55812540e-07	1	true	GAMG	2.58501070e-02	1.61990260e-04	12	true
7               	DILUPBiCGStab	1.20264550e-04	8.00174780e-07	1	6.81470810e-03	1.19676690e-04	1	1.00288490e-04	2.50890530e-06	1	false	DILUPBiCGStab	4.10202050e-03	8.63625290e-05	1	true	DILUPBiCGStab	2.20579400e-05	5.47507480e-07	1	true	GAMG	7.03556630e-03	5.22693840e-05	10	true
8               	DILUPBiCGStab	1.25456430e-04	1.01854160e-06	1	1.38584330e-02	2.15074580e-04	1	1.43282500e-04	3.08360270e-06	1	false	DILUPBiCGStab	1.20166000e-03	2.59110810e-05	1	true	DILUPBiCGStab	1.98649950e-05	4.43493260e-07	1	true	GAMG	5.07570700e-03	3.38836660e-05	11	true
9               	DILUPBiCGStab	1.03473660e-04	9.25493770e-07	1	3.27759120e-02	3.98693910e-04	1	1.42898190e-04	2.40293320e-06	1	false	DILUPBiCGStab	7.56292630e-04	1.55474200e-05	1	true	DILUPBiCGStab	1.89855540e-05	3.79194950e-07	1	true	GAMG	6.13408050e-03	3.96792870e-05	13	true
10              	DILUPBiCGStab	8.34325660e-05	9.17672380e-07	1	2.23133150e-02	2.72876020e-04	1	8.84131330e-05	1.03795600e-06	1	false	DILUPBiCGStab	5.72306270e-04	1.13540570e-05	1	true	DILUPBiCGStab	1.88074770e-05	3.50773130e-07	1	true	GAMG	1.12445420e-02	8.54064410e-05	13	true
11              	DILUPBiCGStab	1.24249950e-04	1.06239930e-06	1	1.34104840e-02	3.44648470e-04	1	7.52762120e-05	1.51014960e-06	1	false	DILUPBiCGStab	4.55352350e-04	8.91710720e-06	1	true	DILUPBiCGStab	1.88677920e-05	3.56327160e-07	1	true	GAMG	3.35925350e-02	2.11681500e-04	13	true
12              	DILUPBiCGStab	1.67271640e-04	1.13772590e-06	1	3.58942190e-02	1.02367710e-03	1	1.11675590e-04	3.06366640e-06	1	false	DILUPBiCGStab	3.73920750e-04	7.16229530e-06	1	true	DILUPBiCGStab	1.90396340e-05	3.91890140e-07	1	true	GAMG	8.63995960e-03	6.87484370e-05	9	true
13              	DILUPBiCGStab	1.60396000e-04	1.15059700e-06	1	2.73730860e-02	7.34667290e-04	1	1.08257230e-04	3.15647160e-06	1	false	DILUPBiCGStab	3.14152390e-04	5.72421720e-06	1	true	DILUPBiCGStab	1.94225220e-05	4.46774150e-07	1	true	GAMG	7.34223030e-03	6.96509820e-05	9	true
14              	DILUPBiCGStab	1.19116780e-04	8.01045800e-07	1	8.72337710e-03	1.64712500e-04	1	7.42968690e-05	2.16731130e-06	1	false	DILUPBiCGStab	2.64993430e-04	4.70861060e-06	1	true	DILUPBiCGStab	1.99882250e-05	5.02541380e-07	1	true	GAMG	8.46952310e-03	7.88113610e-05	11	true
15              	DILUPBiCGStab	7.62739560e-05	7.78359720e-07	1	3.87953740e-03	6.03604510e-05	1	3.92774380e-05	8.29182080e-07	1	false	DILUPBiCGStab	2.28094140e-04	4.18826730e-06	1	true	DILUPBiCGStab	2.05775570e-05	5.27749540e-07	1	true	GAMG	1.31327570e-02	9.18626080e-05	14	true
16              	DILUPBiCGStab	6.01166180e-05	8.49981440e-07	1	4.39775610e-03	1.32605350e-04	1	3.41311260e-05	5.80529890e-07	1	false	DILUPBiCGStab	1.96221530e-04	3.97802780e-06	1	true	DILUPBiCGStab	2.11812820e-05	5.09307660e-07	1	true	GAMG	1.39609190e-01	1.38001580e-03	12	true
17              	DILUPBiCGStab	8.82868740e-05	6.64258850e-07	1	6.95795340e-03	2.35579570e-04	1	4.43405180e-05	8.78207110e-07	1	false	DILUPBiCGStab	1.68982780e-04	3.79961350e-06	1	true	DILUPBiCGStab	2.17882560e-05	4.71886530e-07	1	true	GAMG	2.05620240e-02	1.67632570e-04	11	true
18              	DILUPBiCGStab	1.09724200e-04	5.24662800e-07	1	1.03254580e-02	3.51850320e-04	1	4.59117870e-05	9.45156950e-07	1	false	DILUPBiCGStab	1.49424790e-04	3.47127430e-06	1	true	DILUPBiCGStab	2.24599450e-05	4.44153860e-07	1	true	GAMG	1.76164980e-02	1.30698570e-04	9	true
19              	DILUPBiCGStab	1.06260770e-04	9.80898500e-06	1	1.70264920e-02	4.66694890e-04	1	3.61657650e-05	6.74335250e-07	1	false	DILUPBiCGStab	1.59559630e-04	3.27133380e-06	1	true	DILUPBiCGStab	2.32302340e-05	4.30520480e-07	1	true	GAMG	2.48843260e-02	1.46394660e-04	11	true
20              	DILUPBiCGStab	8.39082380e-05	8.02216330e-06	1	1.56542830e-02	2.63124420e-04	1	2.69658850e-05	4.01232350e-07	1	false	DILUPBiCGStab	1.45623990e-04	2.75343420e-06	1	true	DILUPBiCGStab	2.40810460e-05	4.30028460e-07	1	true	GAMG	1.78897370e-01	1.57487450e-03	12	true
21              	DILUPBiCGStab	5.81300670e-05	3.35343960e-07	1	1.23756360e-02	2.96079450e-04	1	2.91546260e-05	4.26895230e-07	1	false	DILUPBiCGStab	1.43687350e-04	2.39742510e-06	1	true	DILUPBiCGStab	2.50199520e-05	4.36671760e-07	1	true	GAMG	1.84797740e-02	1.13889110e-04	15	true
22              	DILUPBiCGStab	5.21374140e-05	4.87679370e-07	1	1.52439170e-02	4.63698330e-04	1	3.32309900e-05	5.72430550e-07	1	false	DILUPBiCGStab	1.29035540e-04	1.93583270e-06	1	true	DILUPBiCGStab	2.60140840e-05	4.44425980e-07	1	true	GAMG	1.18980790e-02	7.70354670e-05	13	true
23              	DILUPBiCGStab	7.72009910e-05	5.22866640e-07	1	2.00584750e-02	6.73519960e-04	1	3.07394480e-05	5.97216500e-07	1	false	DILUPBiCGStab	1.18255300e-04	1.60683330e-06	1	true	DILUPBiCGStab	2.71050760e-05	4.50782400e-07	1	true	GAMG	1.20811380e-02	8.04270950e-05	10	true
24              	DILUPBiCGStab	8.38856540e-05	5.42496270e-07	1	1.64259080e-02	4.50865880e-04	1	2.62733480e-05	4.92721170e-07	1	false	DILUPBiCGStab	1.07655140e-04	1.38405440e-06	1	true	DILUPBiCGStab	2.83135940e-05	4.55801510e-07	1	true	GAMG	1.37808770e-02	1.35294150e-04	9	true
25              	DILUPBiCGStab	7.22155860e-05	6.58282270e-06	1	1.28822310e-02	2.03243400e-04	1	2.31652140e-05	3.48174120e-07	1	false	DILUPBiCGStab	1.06485480e-04	1.26414850e-06	1	true	DILUPBiCGStab	2.95875020e-05	4.53553450e-07	1	true	GAMG	1.84681560e-02	1.39009890e-04	13	true
26              	DILUPBiCGStab	5.26325070e-05	4.92219900e-06	1	1.71379760e-02	2.96371370e-04	1	2.16491020e-05	2.92246680e-07	1	false	DILUPBiCGStab	9.80770000e-05	1.22006110e-06	1	true	DILUPBiCGStab	3.09399860e-05	4.50565000e-07	1	true	GAMG	3.08465580e-02	2.25190260e-04	14	true
27              	DILUPBiCGStab	3.79911290e-05	2.44328020e-07	1	1.51324350e-02	3.24210340e-04	1	2.09352600e-05	2.82030220e-07	1	false	DILUPBiCGStab	9.66179440e-05	1.22097720e-06	1	true	DILUPBiCGStab	3.24570350e-05	4.46078790e-07	1	true	GAMG	7.14236950e-02	5.26251250e-04	14	true
28              	DILUPBiCGStab	4.96610030e-05	3.11678860e-07	1	7.54919560e-03	1.83578890e-04	1	1.87590570e-05	2.63391640e-07	1	false	DILUPBiCGStab	9.01770240e-05	1.11430610e-06	1	true	DILUPBiCGStab	3.41387450e-05	4.41018880e-07	1	true	GAMG	8.73029480e-02	6.97350300e-04	11	true
29              	DILUPBiCGStab	6.24238500e-05	3.05791220e-07	1	4.12055340e-03	9.47132610e-05	1	1.54910850e-05	2.29990790e-07	1	false	DILUPBiCGStab	8.51926520e-05	1.03102480e-06	1	true	DILUPBiCGStab	3.60230420e-05	4.36818590e-07	1	true	GAMG	4.05953370e-02	3.49012740e-04	9	true
30              	DILUPBiCGStab	5.95419890e-05	5.11252430e-06	1	3.13504830e-03	5.01133290e-05	1	1.46443540e-05	2.21965360e-07	1	false	DILUPBiCGStab	8.80820610e-05	9.81461600e-07	1	true	DILUPBiCGStab	3.80909810e-05	4.35231300e-07	1	true	GAMG	2.05722730e-02	1.38082430e-04	13	true
31              	DILUPBiCGStab	4.57158470e-05	3.83437500e-06	1	3.19090440e-03	4.59269940e-05	1	1.61082240e-05	2.35230910e-07	1	false	DILUPBiCGStab	8.42380350e-05	9.49664290e-07	1	true	DILUPBiCGStab	4.03467830e-05	4.39990400e-07	1	true	GAMG	1.26006580e-02	1.04031840e-04	14	true
32              	DILUPBiCGStab	3.01647020e-05	1.31842020e-07	1	3.26391310e-03	5.22503960e-05	1	1.73865030e-05	2.37963760e-07	1	false	DILUPBiCGStab	8.44458970e-05	9.62648310e-07	1	true	DILUPBiCGStab	4.29141280e-05	4.53104100e-07	1	true	GAMG	1.01000880e-02	9.82600950e-05	14	true
33              	DILUPBiCGStab	2.70864010e-05	2.14567630e-07	1	3.05685410e-03	5.12291630e-05	1	1.75004530e-05	2.24942810e-07	1	false	DILUPBiCGStab	8.10546430e-05	9.12716900e-07	1	true	DILUPBiCGStab	4.58342890e-05	4.75721690e-07	1	true	GAMG	9.95377330e-03	7.12311040e-05	12	true
34              	DILUPBiCGStab	4.08548370e-05	1.95385890e-07	1	2.78453530e-03	4.46029680e-05	1	1.69638060e-05	2.14029830e-07	1	false	DILUPBiCGStab	7.80849140e-05	8.87199580e-07	1	true	DILUPBiCGStab	4.91905310e-05	5.05557890e-07	1	true	GAMG	9.94495620e-03	5.34935650e-05	9	true
35              	DILUPBiCGStab	4.38849450e-05	3.94069790e-06	1	2.58545210e-03	3.98159690e-05	1	1.61113670e-05	2.06164220e-07	1	false	DILUPBiCGStab	7.72573050e-05	8.57798190e-07	1	true	DILUPBiCGStab	5.30830710e-05	5.43345860e-07	1	true	GAMG	1.02817720e-02	9.66467660e-05	11	true
36              	DILUPBiCGStab	3.70094010e-05	2.99011760e-06	1	2.35193830e-03	3.75485650e-05	1	1.50463430e-05	1.91381260e-07	1	false	DILUPBiCGStab	7.27434460e-05	8.47313920e-07	1	true	DILUPBiCGStab	5.76662020e-05	5.87459780e-07	1	true	GAMG	1.03255500e-02	9.66482340e-05	14	true
37              	DILUPBiCGStab	2.62557390e-05	2.39628250e-06	1	2.00337560e-03	3.22290330e-05	1	1.38792810e-05	1.67848180e-07	1	false	DILUPBiCGStab	7.21207010e-05	8.39066690e-07	1	true	DILUPBiCGStab	6.31969480e-05	6.39855650e-07	1	true	GAMG	1.06080920e-02	8.89784520e-05	14	true
38              	DILUPBiCGStab	2.00889350e-05	1.30185460e-07	1	1.61550940e-03	2.36308840e-05	1	1.25991240e-05	1.42232030e-07	1	false	DILUPBiCGStab	7.05951650e-05	8.22972000e-07	1	true	DILUPBiCGStab	7.00588450e-05	7.04850860e-07	1	true	GAMG	1.03954080e-02	1.00221610e-04	12	true
39              	DILUPBiCGStab	2.83729450e-05	1.38752560e-07	1	1.38404250e-03	1.76049190e-05	1	1.19113580e-05	1.30467750e-07	1	false	DILUPBiCGStab	6.83003650e-05	7.76452830e-07	1	true	DILUPBiCGStab	7.87214220e-05	7.86906380e-07	1	true	GAMG	9.11022290e-03	7.53577670e-05	9	true
40              	DILUPBiCGStab	3.18247580e-05	2.95250380e-06	1	1.35158630e-03	1.73817960e-05	1	1.21965150e-05	1.35615490e-07	1	false	DILUPBiCGStab	6.96122320e-05	7.52695880e-07	1	true	DILUPBiCGStab	8.99780740e-05	8.93837360e-07	1	true	GAMG	7.81490170e-03	5.50746680e-05	12	true
41              	DILUPBiCGStab	2.79104030e-05	2.29974180e-06	1	1.40548140e-03	1.96369100e-05	1	1.30028700e-05	1.45322730e-07	1	false	DILUPBiCGStab	6.74634450e-05	7.25033170e-07	1	true	DILUPBiCGStab	1.05189000e-04	1.03692200e-06	1	true	GAMG	6.61090480e-03	6.03985470e-05	14	true
42              	DILUPBiCGStab	2.02015670e-05	1.73666980e-06	1	1.40799950e-03	1.98151560e-05	1	1.35180000e-05	1.44934220e-07	1	false	DILUPBiCGStab	6.87464310e-05	7.05618510e-07	1	true	DILUPBiCGStab	1.26895920e-04	1.23872840e-06	1	true	GAMG	5.86952420e-03	5.17426320e-05	14	true
43              	DILUPBiCGStab	1.34260990e-05	7.59537270e-08	1	1.35016090e-03	1.64142080e-05	1	1.35235710e-05	1.34569360e-07	1	false	DILUPBiCGStab	6.88422120e-05	6.89686260e-07	1	true	DILUPBiCGStab	1.60234680e-04	1.54543670e-06	1	true	GAMG	5.60299160e-03	3.67191910e-05	14	true
44              	DILUPBiCGStab	1.67413710e-05	1.07837670e-07	1	1.26143230e-03	1.30667110e-05	1	1.31977230e-05	1.24764950e-07	1	false	DILUPBiCGStab	6.82441360e-05	6.63507080e-07	1	true	DILUPBiCGStab	2.17435080e-04	2.07229490e-06	1	true	GAMG	5.17203960e-03	3.33717290e-05	12	true
45              	DILUPBiCGStab	2.16487090e-05	9.34116550e-08	1	1.16018180e-03	1.19230440e-05	1	1.26819810e-05	1.20941440e-07	1	false	DILUPBiCGStab	6.70216240e-05	6.39460610e-07	1	true	DILUPBiCGStab	3.37879260e-04	3.18133000e-06	1	true	GAMG	4.62987320e-03	2.71039920e-05	13	true
46              	DILUPBiCGStab	2.08574710e-05	1.98578220e-06	1	1.05838880e-03	1.19471590e-05	1	1.20974310e-05	1.20028530e-07	1	false	DILUPBiCGStab	6.61478150e-05	6.15189980e-07	1	true	DILUPBiCGStab	7.52884790e-04	7.00754070e-06	1	true	GAMG	4.35771640e-03	3.72274710e-05	14	true
47              	DILUPBiCGStab	1.63497640e-05	1.60390790e-06	1	9.49452790e-04	1.17284040e-05	1	1.15251150e-05	1.18281990e-07	1	false	DILUPBiCGStab	6.45855360e-05	6.02814320e-07	1	true	DILUPBiCGStab	2.63056810e-03	2.41812060e-05	1	true	GAMG	4.10190480e-03	3.90315060e-05	13	true
48              	DILUPBiCGStab	1.15426720e-05	7.17440170e-08	1	8.53876380e-04	1.03159350e-05	1	1.11129510e-05	1.15076210e-07	1	false	DILUPBiCGStab	6.41208960e-05	5.98694580e-07	1	true	DILUPBiCGStab	5.02924890e-04	4.57120070e-06	1	true	GAMG	4.00718140e-03	2.48179280e-05	15	true
49              	DILUPBiCGStab	1.25401970e-05	9.31546220e-08	1	7.91612480e-04	8.19860370e-06	1	1.10242950e-05	1.12534290e-07	1	false	DILUPBiCGStab	6.33773740e-05	5.87750610e-07	1	true	DILUPBiCGStab	2.78727130e-04	2.51305880e-06	1	true	GAMG	3.78373750e-03	3.54206550e-05	11	true
50              	DILUPBiCGStab	1.60446980e-05	8.44566400e-08	1	7.59375870e-04	7.02548270e-06	1	1.11971550e-05	1.12287140e-07	1	false	DILUPBiCGStab	6.29423650e-05	5.83373980e-07	1	true	DILUPBiCGStab	1.93072850e-04	1.73178720e-06	1	true	GAMG	3.38502750e-03	2.51338900e-05	10	true
51              	DILUPBiCGStab	1.54376860e-05	6.42044220e-08	1	7.39125190e-04	6.71600570e-06	1	1.14337450e-05	1.13918180e-07	1	false	DILUPBiCGStab	6.32501920e-05	5.83924310e-07	1	true	DILUPBiCGStab	1.47792370e-04	1.32256710e-06	1	true	GAMG	3.01631790e-03	2.67833190e-05	13	true
52              	DILUPBiCGStab	1.22353290e-05	5.12596850e-08	1	7.08186920e-04	6.55446130e-06	1	1.15471530e-05	1.15361600e-07	1	false	DILUPBiCGStab	6.42430340e-05	5.88114440e-07	1	true	DILUPBiCGStab	1.19748540e-04	1.07404150e-06	1	true	GAMG	2.74790140e-03	1.61863510e-05	16	true
53              	DILUPBiCGStab	8.56927020e-06	5.57815970e-08	1	6.62089260e-04	6.20949340e-06	1	1.14664690e-05	1.15124060e-07	1	false	DILUPBiCGStab	6.49092870e-05	5.90724060e-07	1	true	DILUPBiCGStab	1.00641240e-04	9.08731580e-07	1	true	GAMG	2.73571710e-03	1.75534520e-05	14	true
54              	DILUPBiCGStab	7.41269350e-06	7.03668130e-08	1	6.07976010e-04	5.65682920e-06	1	1.12338350e-05	1.13555410e-07	1	false	DILUPBiCGStab	6.49868010e-05	5.92385550e-07	1	true	DILUPBiCGStab	8.67607130e-05	7.92592220e-07	1	true	GAMG	2.60298480e-03	2.31122010e-05	10	true
55              	DILUPBiCGStab	1.01959870e-05	7.79027120e-08	1	5.54474650e-04	5.06193760e-06	1	1.09167390e-05	1.11489880e-07	1	false	DILUPBiCGStab	6.44680010e-05	5.93035630e-07	1	true	DILUPBiCGStab	7.61856890e-05	7.07510690e-07	1	true	GAMG	2.35359160e-03	1.19637250e-05	10	true
56              	DILUPBiCGStab	1.09334700e-05	6.76896600e-08	1	5.07990180e-04	4.60061620e-06	1	1.05993730e-05	1.09703960e-07	1	false	DILUPBiCGStab	6.35746640e-05	5.93167000e-07	1	true	DILUPBiCGStab	6.78396180e-05	6.41298940e-07	1	true	GAMG	2.09842920e-03	1.57222200e-05	13	true
57              	DILUPBiCGStab	9.54931620e-06	5.86003770e-08	1	4.70280970e-04	4.27707210e-06	1	1.03738370e-05	1.08636440e-07	1	false	DILUPBiCGStab	6.25688890e-05	5.93805560e-07	1	true	DILUPBiCGStab	6.10699470e-05	5.87540310e-07	1	true	GAMG	1.92783870e-03	1.49767210e-05	14	true
58              	DILUPBiCGStab	7.49952410e-06	6.02783120e-08	1	4.42489060e-04	4.03333810e-06	1	1.02783770e-05	1.08251930e-07	1	false	DILUPBiCGStab	6.16837530e-05	5.94810580e-07	1	true	DILUPBiCGStab	5.54620420e-05	5.42576430e-07	1	true	GAMG	1.94759210e-03	1.42367900e-05	12	true
59              	DILUPBiCGStab	6.79967370e-06	6.59805520e-08	1	4.22839680e-04	3.84362990e-06	1	1.02873890e-05	1.08255720e-07	1	false	DILUPBiCGStab	6.10537330e-05	5.96874150e-07	1	true	DILUPBiCGStab	5.07357410e-05	5.03217020e-07	1	true	GAMG	1.92452960e-03	1.52555250e-05	11	true
60              	DILUPBiCGStab	8.46063560e-06	6.92273390e-08	1	4.07654430e-04	3.68170900e-06	1	1.03419620e-05	1.08485860e-07	1	false	DILUPBiCGStab	6.06884580e-05	5.99599860e-07	1	true	DILUPBiCGStab	4.66925390e-05	4.68488230e-07	1	true	GAMG	1.79599530e-03	1.18231980e-05	9	true
61              	DILUPBiCGStab	8.82653790e-06	6.12792990e-08	1	3.92119620e-04	3.52151950e-06	1	1.03693350e-05	1.08706830e-07	1	false	DILUPBiCGStab	6.06579820e-05	6.03893210e-07	1	true	DILUPBiCGStab	4.31928170e-05	4.36699320e-07	1	true	GAMG	1.63207980e-03	1.39918410e-05	12	true
62              	DILUPBiCGStab	7.60909510e-06	5.13423810e-08	1	3.73630450e-04	3.36864140e-06	1	1.03283780e-05	1.08657130e-07	1	false	DILUPBiCGStab	6.08418530e-05	6.08780960e-07	1	true	DILUPBiCGStab	4.01371140e-05	4.07866820e-07	1	true	GAMG	1.50643280e-03	1.48541710e-05	13	true
63              	DILUPBiCGStab	5.76208040e-06	4.50229720e-08	1	3.52864990e-04	3.21492370e-06	1	1.02180770e-05	1.08243410e-07	1	false	DILUPBiCGStab	6.09301220e-05	6.12517990e-07	1	true	DILUPBiCGStab	3.74502490e-05	3.81637910e-07	1	true	GAMG	1.49351160e-03	9.83977660e-06	13	true
64              	DILUPBiCGStab	4.63262000e-06	4.56932920e-08	1	3.31969980e-04	3.05762810e-06	1	1.00659660e-05	1.07633540e-07	1	false	DILUPBiCGStab	6.07657570e-05	6.15065700e-07	1	true	DILUPBiCGStab	3.50801610e-05	3.57720270e-07	1	true	GAMG	1.47614830e-03	1.33967860e-05	9	true
65              	DILUPBiCGStab	5.36255070e-06	4.93459940e-08	1	3.13715940e-04	2.91167990e-06	1	9.91232840e-06	1.07111990e-07	1	false	DILUPBiCGStab	6.03169690e-05	6.16112460e-07	1	true	DILUPBiCGStab	3.29770720e-05	3.36109020e-07	1	true	GAMG	1.38785570e-03	1.37020930e-05	9	true
66              	DILUPBiCGStab	6.07928050e-06	4.83427450e-08	1	2.98844490e-04	2.78902700e-06	1	9.79009870e-06	1.06847420e-07	1	false	DILUPBiCGStab	5.96532560e-05	6.15959570e-07	1	true	DILUPBiCGStab	3.11028750e-05	3.16743360e-07	1	true	GAMG	1.27256070e-03	1.04003840e-05	11	true
67              	DILUPBiCGStab	5.79828550e-06	4.44432460e-08	1	2.87223330e-04	2.69850410e-06	1	9.71492050e-06	1.06861190e-07	1	false	DILUPBiCGStab	5.89022750e-05	6.14614290e-07	1	true	DILUPBiCGStab	2.94264750e-05	2.99156000e-07	1	true	GAMG	1.18814430e-03	7.64474150e-06	12	true
68              	DILUPBiCGStab	5.05581350e-06	4.30801900e-08	1	2.78082520e-04	2.62976850e-06	1	9.68234300e-06	1.07049290e-07	1	false	DILUPBiCGStab	5.81841590e-05	6.11721930e-07	1	true	DILUPBiCGStab	2.79217380e-05	2.83527470e-07	1	true	GAMG	1.18044990e-03	8.68760290e-06	13	true
69              	DILUPBiCGStab	4.66862770e-06	4.40726030e-08	1	2.70144720e-04	2.56504870e-06	1	9.67400450e-06	1.07262750e-07	1	false	DILUPBiCGStab	5.75807030e-05	6.07374630e-07	1	true	DILUPBiCGStab	2.65709450e-05	2.69485810e-07	1	true	GAMG	1.18778990e-03	5.56277270e-06	10	true
70              	DILUPBiCGStab	5.28058310e-06	4.53797500e-08	1	2.62392940e-04	2.49220580e-06	1	9.66712080e-06	1.07352880e-07	1	false	DILUPBiCGStab	5.71375790e-05	6.01902880e-07	1	true	DILUPBiCGStab	2.53606310e-05	2.57026790e-07	1	true	GAMG	1.14477410e-03	9.47900310e-06	9	true
71              	DILUPBiCGStab	5.60307610e-06	4.31898460e-08	1	2.54249060e-04	2.41385610e-06	1	9.64488180e-06	1.07266040e-07	1	false	DILUPBiCGStab	5.68573220e-05	5.95009500e-07	1	true	DILUPBiCGStab	2.42736480e-05	2.45824120e-07	1	true	GAMG	1.07733090e-03	9.65367450e-06	9	true
72              	DILUPBiCGStab	5.23603090e-06	3.89316910e-08	1	2.45653160e-04	2.33763890e-06	1	9.60267500e-06	1.06966320e-07	1	false	DILUPBiCGStab	5.66870980e-05	5.87225970e-07	1	true	DILUPBiCGStab	2.32972560e-05	2.35874870e-07	1	true	GAMG	1.02131840e-03	8.77991060e-06	12	true
73              	DILUPBiCGStab	4.41900280e-06	3.47083000e-08	1	2.37111850e-04	2.27028120e-06	1	9.54525310e-06	1.06487680e-07	1	false	DILUPBiCGStab	5.65265730e-05	5.78299020e-07	1	true	DILUPBiCGStab	2.24179160e-05	2.27064100e-07	1	true	GAMG	1.00781420e-03	7.45622060e-06	12	true
74              	DILUPBiCGStab	3.61845400e-06	3.23898380e-08	1	2.29156430e-04	2.21403640e-06	1	9.48381800e-06	1.05959040e-07	1	false	DILUPBiCGStab	5.62934180e-05	5.68272450e-07	1	true	DILUPBiCGStab	2.16249550e-05	2.19297030e-07	1	true	GAMG	1.01132400e-03	8.32696680e-06	10	true
75              	DILUPBiCGStab	3.56903520e-06	3.28291280e-08	1	2.21959410e-04	2.16198070e-06	1	9.43142560e-06	1.05490470e-07	1	false	DILUPBiCGStab	5.59602200e-05	5.57336450e-07	1	true	DILUPBiCGStab	2.09074170e-05	2.12410990e-07	1	true	GAMG	9.82254890e-04	5.87100760e-06	9	true
76              	DILUPBiCGStab	3.98510570e-06	3.29457380e-08	1	2.15750770e-04	2.11377700e-06	1	9.39546450e-06	1.05184970e-07	1	false	DILUPBiCGStab	5.55424170e-05	5.45959720e-07	1	true	DILUPBiCGStab	2.02565410e-05	2.06331520e-07	1	true	GAMG	9.36717080e-04	4.96291440e-06	10	true
77              	DILUPBiCGStab	4.00356110e-06	3.22775430e-08	1	2.10385070e-04	2.07517290e-06	1	9.37738550e-06	1.05119430e-07	1	false	DILUPBiCGStab	5.50871680e-05	5.34349600e-07	1	true	DILUPBiCGStab	1.96643680e-05	2.01042670e-07	1	true	GAMG	8.98894440e-04	8.61616890e-06	9	true
78              	DILUPBiCGStab	3.79796530e-06	3.23330100e-08	1	2.05580160e-04	2.04709440e-06	1	9.37401430e-06	1.05314940e-07	1	false	DILUPBiCGStab	5.46385700e-05	5.22714430e-07	1	true	DILUPBiCGStab	1.91248260e-05	1.96334970e-07	1	true	GAMG	8.90680010e-04	8.01031110e-06	10	true
79              	DILUPBiCGStab	3.69942680e-06	3.28960420e-08	1	2.01106020e-04	2.02863090e-06	1	9.37810410e-06	1.05727960e-07	1	false	DILUPBiCGStab	5.42392760e-05	5.11618220e-07	1	true	DILUPBiCGStab	1.86309960e-05	1.92057840e-07	1	true	GAMG	9.00220280e-04	3.82210610e-06	10	true
80              	DILUPBiCGStab	3.96335520e-06	3.28355260e-08	1	1.96707220e-04	2.01712390e-06	1	9.38283640e-06	1.06323550e-07	1	false	DILUPBiCGStab	5.38976750e-05	5.01113430e-07	1	true	DILUPBiCGStab	1.81771860e-05	1.88173000e-07	1	true	GAMG	8.88671830e-04	5.37648570e-06	9	true
81              	DILUPBiCGStab	4.12668980e-06	3.17122310e-08	1	1.92372040e-04	2.01079720e-06	1	9.38402050e-06	1.07104460e-07	1	false	DILUPBiCGStab	5.36294180e-05	4.91914700e-07	1	true	DILUPBiCGStab	1.77580160e-05	1.84648650e-07	1	true	GAMG	8.63308800e-04	7.15815390e-06	9	true
